DEBUG: 2021-12-10 00:41:33,092: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:41:33,098: Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-10 00:41:33,188: https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaName%3DUnited+Kingdom%3BareaType%3Doverview&structure=%7B%22date%22%3A%22date%22%2C%22areaName%22%3A%22areaName%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-10 00:41:33,190: The api has returned the data.
INFO: 2021-12-10 00:41:33,238: The data has been processed.
DEBUG: 2021-12-10 00:41:33,242: Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-10 00:41:33,414: https://newsapi.org:443 "GET /v2/top-headlines?q=Covid+COVID-19+coronavirus&language=en HTTP/1.1" 200 None
DEBUG: 2021-12-10 00:41:33,415: News has been succesfully retrieved.
DEBUG: 2021-12-10 00:41:33,415: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:41:33,415: News that has already been posted is in the list.
DEBUG: 2021-12-10 00:41:33,415: News that has already been posted is in the list.
INFO: 2021-12-10 00:41:33,416: 127.0.0.1 - - [10/Dec/2021 00:41:33] "GET /index HTTP/1.1" 200 -
INFO: 2021-12-10 00:41:33,437: 127.0.0.1 - - [10/Dec/2021 00:41:33] "[33mGET /static/images/ HTTP/1.1[0m" 404 -
